Date,Target,Sector,Country,Transaction Type,Deal Value (USD/MLNS),Investor(s),Target_symbol,Investors_symbol,Target_Name_in_API,Investors_Name_in_API
2007-01-25,Reckson Associates Realty Corp.,Real Estate,United States,Add-on Acquisition,4000,"SL Green Realty Corp., 420 Lexington Avenue, New York, New York, 10170, United States, (212) 594-2700, www.slgreen.com",,SLG,,SL Green Realty Corp.
2007-01-25,"Catalent, Inc.",Life Science,United States,Divestiture,3320,"Genstar Capital (PE), Four Embarcadero Center, Suite 1900, San Francisco, California, 94111, United States, (415)834-2350, www.gencap.com\nAisling Capital (PE), 888 Seventh Avenue, 12th Floor, New York, New York, 10106, United States, (212) 651-6380, www.aislingcapital.com\nThe Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",CTLT,BX,"Catalent, Inc.",The Blackstone Group Inc.
2007-01-03,Broadwing Communications LLC,Communications,United States,Add-on Acquisition,1400,"Level 3 Communications, Inc., 1025 Eldorado Boulevard, Broomfield, Colorado, 80021, United States, (720) 888-1000, www.level3.com",,PIH.TO,,8002
2007-01-04,"IronPort Systems, Inc.",Software,United States,Add-on Acquisition,830,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2007-01-17,"HSM Electronic Protection Services, Inc",Safety/Security,United States,Add-on Acquisition,545,"Stanley Black & Decker, Inc., 1000 Stanley Drive, New Britain, Connecticut, 06053, United States, (860) 225-5111, www.stanleyblackanddecker.com",,SWK,,"Stanley Black & Decker, Inc."
2007-01-05,PortalPlayer LLC,Technology Hardware,United States,Add-on Acquisition,357,"NVIDIA Corp., 2788 San Tomas Expressway, Santa Clara, California, 95051, United States, (408) 486-2000, www.nvidia.com",,IDIP.PA,,IDI
2007-01-31,Totes Isotoner Corp.,Apparel/Textiles,United States,Recapitalization,288,"Bruckmann, Rosser, Sherrill & Co., Inc. (PE), 126 East 56th Street, 29th Floor, New York, New York, 10022, United States, (212) 521-3700, www.brs.com\nMidOcean Partners (PE), 245 Park Avenue, 38th Floor, New York, New York, 10167, United States, (212)497-1400, www.midoceanpartners.com\nProspect Capital Corporation (PE), 10 East 40th Street, 42th Floor, New York, New York, 10016, United States, (212)448-0702, www.prospectstreet.com",,PSEC,,Prospect Capital Corporation
2007-01-09,"Pemstar, Inc.",Engineering,United States,Add-on Acquisition,275,"Benchmark Electronics, Inc., 56 South Rockford Drive, Tempe, Arizona, 85281, United States, (623) 300-7000, www.bench.com",,BHE,,"Benchmark Electronics, Inc."
2007-01-02,UPC Belgium NV,Communications,Belgium,Divestiture,207.91,"Telenet Group Holding NV, Neerveldstraat 105, Woluwe-Saint-Lambert, 1200, Belgium, +32 484 00 62 00, www.telenet.be",,TNET.BR,,Telenet Group Holding NV
2007-01-03,"Oxford Global Resources, Inc.",Staffing,United States,Add-on Acquisition,200,"ASGN Incorporated, 4400 Cox Road Suite 110, Glen Allen, California, 23060, United States, (888) 482-8068, www.asgn.com",,ASGN,,ASGN Incorporated
2007-01-02,"Superba, Inc.",Apparel/Textiles,United States,Add-on Acquisition,150,"PVH Corp., 200 Madison Avenue, New York, New York, 10016, United States, (212) 381-3500, www.pvh.com",,PVH,,PVH Corp.
2007-01-04,ACCEL Instruments GmbH,Test/Measurement Equipment,Germany,Add-on Acquisition,30,"Varian Medical Systems, Inc., 3100 Hansen Way, Palo Alto, California, 94304, United States, (650) 493-4000, www.varian.com",,VAR,,"Varian Medical Systems, Inc."
2007-01-09,TLNB Financial Corp.,Financial Services,United States,Add-on Acquisition,17.6,"Community Bank System, Inc., 5790 Widewaters Parkway, Dewitt, New York, 13214, United States, (315) 445-2282, www.cbna.com",,CBU,,"Community Bank System, Inc."
2007-01-08,"Garco Building Systems, Inc.",Building Materials,United States,Add-on Acquisition,16.5,"Cornerstone Building Brands, Inc., 5020 Weston Parkway, Cary, North Carolina, 27513, United States, (866) 419-0042, www.cornerstonebuildingbrands.com",,CNR,,"Cornerstone Building Brands, Inc."
2007-01-03,Caretta Integrated Circuits Co. Ltd.,Test/Measurement Equipment,China,Add-on Acquisition,10.5,"Cirrus Logic, Inc., 800 West 6th Street, Austin, Texas, 78701, United States, (512) 851-4000, www.cirrus.com",,CRUS,,"Cirrus Logic, Inc."
2007-02-19,Converium Finance SA,Financial Services,Luxembourg,Add-on Acquisition,2500,"SCOR SE, 5 avenue Kl, Cedex 16, Paris, 75795, France, +33 1 58 44 70 00, www.scor.com",,SCR.PA,,SCOR SE
2007-02-13,"Pinnacle Foods, Inc.",Food,United States,Secondary Buyout,2160,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2007-02-07,"Aquila, Inc.",Energy Services and Equipment,United States,Add-on Acquisition,1700,"Evergy, Inc., 1200 Main Street, Kansas City, Missouri, 64105, United States, (816) 556-2200, www.evergyinc.com",,EVRG,,"Evergy, Inc."
2007-02-08,Cellular Communications Business / Silicon Laboratories Inc.,Semiconductors,United States,Divestiture,285,"NXP Semiconductors N.V., High Tech Campus Eindhoven 60, Eindhoven, 5656 AG, Netherlands, +31 40 272 9999, www.nxp.com",SLAB,NXPI,Silicon Laboratories Inc.,NXP Semiconductors N.V.
2007-02-01,"GreatBanc, Inc.",Financial Services,United States,Add-on Acquisition,180,"Citizens Financial Group, Inc., One Citizens Plaza, Providence, Rhode Island, 02903, United States, (401) 456-7000, www.citizensbank.com",,CFG,,"Citizens Financial Group, Inc."
2007-02-21,"Reactivity, Inc.",Software,United States,Add-on Acquisition,135,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2007-02-16,Potomac Bank of Virginia,Financial Services,United States,Add-on Acquisition,66.02,"Sandy Spring Bancorp, Inc., 17801 Georgia Avenue, Olney, Maryland, 20832, United States, (301) 774-6400, www.sandyspringbank.com",,SASR,,"Sandy Spring Bancorp, Inc."
2007-02-16,"Praecis Pharmaceuticals, Inc.",Life Science,United States,Add-on Acquisition,54.8,"GlaxoSmithKline plc, 980 Great West Road, Brentford, TW8 9GS, United Kingdom, +44 20 8047 5000, www.gsk.com",,GSK,,GlaxoSmithKline plc
2007-02-15,"Adscape Media, Inc.",Media,United States,Add-on Acquisition,23,"Alphabet Inc., 1600 Amphitheatre Parkway, Mountain View, California, 94043, United States, (650) 253-0000, www.google.com",,GOOG,,Alphabet Inc.
2007-02-01,"Ocean Minded, LLC",Apparel/Textiles,United States,Add-on Acquisition,5.5,"Crocs, Inc. , 7477 East Dry Creek Parkway, Niwot, Colorado, 80503, United States, (303) 848-7000, www.crocs.com",,CROX,,"Crocs, Inc."
2007-02-27,"Ajaxian, Inc.",Internet Software and Services,United States,Add-on Acquisition,1,"TechTarget, Inc., 117 Kendrick Street Suite 800, Needham, Massachusetts, 02494, United States, (781) 657-1000, www.techtarget.com",,TTGT,,"TechTarget, Inc."
2007-03-19,"Triad Hospitals, Inc.",Healthcare Services,United States,Merger,5100,"Community Health Systems, Inc., 4000 Meridian Boulevard, Franklin, Tennessee, 37067, United States, (615) 465-7000, www.chs.net",,CYH,,"Community Health Systems, Inc."
2007-03-15,"WebEx Communications, Inc.",Internet Software and Services,United States,Add-on Acquisition,3200,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",,CSCO,,"Cisco Systems, Inc."
2007-03-12,Plus Orthopedics Holding AG,Medical Products,Switzerland,Add-on Acquisition,889,"Smith & Nephew plc, Building 5 Croxley Park Hatters Lane, Watford, WD18 8YE, United Kingdom, +44 19 2347 7100, www.smith-nephew.com",,SNN,,Smith & Nephew plc
2007-03-12,"Cotco Luminant Device Co., Ltd. ",Electrical Equipment,Hong Kong,Divestiture,200,"Cree, Inc., 4600 Silicon Drive, Durham, North Carolina, 27703, United States, (919) 407-5300, www.cree.com",,CREE,,"Cree, Inc."
2007-03-28,Acute-Care Distribution Business,Medical Products,United States,Divestiture,165,"Owens & Minor, Inc., Post Office Box 27626, Richmond, Virginia, 23116, United States, (804) 723-7000, www.owens-minor.com",,OMI,,"Owens & Minor, Inc."
2007-03-30,Academy Music Group Ltd.,Media,United Kingdom,Add-on Acquisition,114,"Live Nation Entertainment, Inc., 9348 Civic Center Drive, Beverly Hills, California, 9500, United States, (310) 867-7000, www.livenationentertainment.com",,LYV,,"Live Nation Entertainment, Inc."
2007-03-27,"Speakeasy, Inc.",Information Technology,United States,Add-on Acquisition,97,"Best Buy Co., Inc., 7601 Penn Ave. S., Richfield, Minnesota, 55423, United States, (612) 291-1000, www.bestbuy.com",,BBY,,"Best Buy Co., Inc."
2007-03-01,TouchSensor Technologies LLC,Semiconductors,United States,Divestiture,65,"Methode Electronics, Inc., 8750 West Bryn Mawr Avenue Suite 1000, Chicago, Illinois, 60631, United States, (708) 867-6777, www.methode.com",,MEI,,"Methode Electronics, Inc."
2007-03-30,"Tut Systems, Inc.",Communications,United States,Add-on Acquisition,39,"Motorola Solutions, Inc., 500 West Monroe Street Suite 4400, Chicago, Illinois, 60661, United States, (847) 576-5000, www.motorolasolutions.com",,MSI,,"Motorola Solutions, Inc."
2007-03-28,"AL Solutions, Inc.",Distribution,United States,Growth Capital,30,"BlackRock Capital Investment Corporation (PE), 40 East 52nd Street, New York, New York, 10022, United States, (212)810-5800, www.blackrockbkcc.com\nMainspring Capital Partners (PE), 202 Washington Street, Brookline, Massachusetts, 02445, United States, (781)466-8233, www.mainspringcap.com\nNewStar Financial, Inc., 500 Boylston Street, Suite 1250, Boston, Massachusetts, 02116, United States, (617) 848-2500, www.newstarfin.com",,BKCC,,BlackRock Capital Investment Corporation
2007-03-16,AirIO's Vehicle Finance Division,Communications,Canada,Divestiture,19,"CalAmp Corp., 15635 Alton Parkway, Suite 250, Irvine, California, 92618, United States, (949) 600-5600, www.calamp.com",,CAMP,,CalAmp Corp.
2007-03-02,DVO Extremity Solutions LLC,Business Services,United States,Add-on Acquisition,11.6,"Wright Medical Group N.V., Prins Bernhardplein 200, Amsterdam, 1097 JB, Netherlands, +31 20 521 4777, www.wright.com",,WMGI,,Wright Medical Group N.V.
2007-03-17,"SmartLink Radio Networks, Inc.",Communications,United States,Add-on Acquisition,8.1,"CalAmp Corp., 15635 Alton Parkway, Suite 250, Irvine, California, 92618, United States, (949) 600-5600, www.calamp.com",,CAMP,,CalAmp Corp.
2007-04-10,Realogy Holdings Corp.,Consumer Services,United States,Going Private,8500,"Apollo Global Management LLC (PE), 9 West 57th Street, 43rd Floor, New York, New York, 10019, United States, (212) 515-3200, www.agm.com\nATP Private Equity Partners (PE), www.atp-pep.com",RLGY,,Realogy Holdings Corp.,
2007-04-18,Actaris Metering Systems SA ,Electrical Equipment,Luxembourg,Add-on Acquisition,1700,"Itron, Inc., 2111 N Molter Rd, Liberty Lake, Washington, 99019, United States, (509) 924-9900, www.itron.com",,ITRI,,"Itron, Inc."
2007-04-27,SULO Group,Environmental,Australia,Add-on Acquisition,1634.01,"Veolia Environnement S.A., 30, rue Madeleine-Vionnet, Aubervilliers, 93300, France, +33 1 71 75 00 00, www.veolia.com",,VIE.PA,,Veolia Environnement S.A.
2007-04-23,Sicartsa,Metals/Mining,Mexico,Divestiture,1439,"ArcelorMittal SA, 24-26, Boulevard d’Avranches, Luxembourg, 1160, Luxembourg, +352 4792 1, www.arcelormittal.com",,MT.AS,,ArcelorMittal
2007-04-23,Atacadão Distribuicao Comercio e Industria LTDA,Retail,Brazil,Add-on Acquisition,929.69,"Carrefour SA, 93, Avenue de Paris, Massy, 91300, France, +33 1 41 04 26 00, www.carrefour.com",,CA.PA,,Carrefour SA
2007-04-24,"BeVocal, Inc.",Software,United States,Add-on Acquisition,140,"Nuance Communications, Inc., 1 Wayside Road, Burlington, Massachusetts, 01803, United States, (781) 565-5000, www.nuance.com",,NUAN,,"Nuance Communications, Inc."
2007-04-01,"Health Watch Holdings, Inc.",Safety/Security,United States,Add-on Acquisition,130,"Koninklijke Philips N.V., Philips Center Amstelplein 2, Amsterdam, 1096 BC, Netherlands, +31 20 597 7777, www.philips.com",,PHG,,Koninklijke Philips N.V.
2007-04-02,"North Coast Commercial Roofing Systems, Inc",Building Materials,United States,Add-on Acquisition,110.5,"Beacon Roofing Supply, Inc., 505 Huntmar Park Drive, Suite 300, Herndon, Virginia, 20170, United States, (571) 323-3939, www.becn.com",,BECN,,"Beacon Roofing Supply, Inc."
2007-04-12,Jumping Jack Cash - 15 Colorado Pawnshops,Financial Services,United States,Divestiture,23,"EZCORP, Inc., Building One Suite 200 2500 Bee Cave Road, Austin, Texas, 78746, United States, (512) 314-3400, www.ezcorp.com",,EZPW,,"EZCORP, Inc."
2007-04-23,Anix IT,Information Technology,United Kingdom,Add-on Acquisition,16.09,"XploITe Plc, First Point Buckingham Gate, Gatwick, RH6 0PP, United Kingdom, +44 87 0737 2001",,RH,,RH
2007-04-26,"TechnologyGuide.com, Inc.",Internet Software and Services,United States,Add-on Acquisition,15,"TechTarget, Inc., 117 Kendrick Street Suite 800, Needham, Massachusetts, 02494, United States, (781) 657-1000, www.techtarget.com",,TTGT,,"TechTarget, Inc."
2007-05-02,US Foods Holding Corp.,Distribution,United States,Divestiture,7100,"Clayton, Dubilier & Rice (CD&R) (PE), 375 Park Avenue, 18th Floor, New York, New York, 10152, United States, (212)407-5200, www.cdr-inc.com\nKKR & Co. L.P. (PE), 9 West 57 Street, Suite 4200, New York, New York, 10019, United States, (212)230-9410, www.kkr.com",USFD,,US Foods Holding Corp.,
2007-05-03,Klöckner Pentaplast GmbH,Chemicals,Germany,Secondary Buyout,1807,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2007-05-14,VIASYS Healthcare SARL,Medical Products,France,Add-on Acquisition,1500,"Cardinal Health, Inc., 7000 Cardinal Place, Dublin, Ohio, 43017, United States, (614) 757-5000, www.cardinal.com",,CAH,,"Cardinal Health, Inc."
2007-05-09,"Dendrite International, Inc.",Information Technology,United States,Merger,751,"Cegedim SA, 127 rue d’Aguesseau, Boulogne-Billancourt, 92100, France, +33 1 49 09 22 00, www.cegedim.com",,CGM.PA,,Cegedim SA
2007-05-17,"24/7 Media, Inc.",Marketing,United States,Add-on Acquisition,649,"WPP plc, Sea Containers 18 Upper Ground, London, SE1 9GL, United Kingdom, +44 20 7282 4600, www.wpp.com",,WPP,,WPP plc
2007-05-24,Rendina - Medical Office Buildings & Property Management Group,Real Estate,United States,Divestiture,287.7,"Welltower Inc., 4500 Dorr Street, Toledo, Ohio, 43615, United States, (419) 247-2800, www.welltower.com",,WELL,,Welltower Inc.
2007-05-01,"BlueSky Medical Group, Inc.",Medical Products,United States,Add-on Acquisition,110,"Smith & Nephew plc, Building 5 Croxley Park Hatters Lane, Watford, WD18 8YE, United Kingdom, +44 19 2347 7100, www.smith-nephew.com",,SNN,,Smith & Nephew plc
2007-05-23,Voxmobile ,Communications,Luxembourg,Add-on Acquisition,90.49,"Orange Belgium S.A., Avenue du Bourget 3, Brussels, 1140, Brazil, 32 2 745 71 11, /www.orange.be",,OBEL.BR,,Orange Belgium S.A.
2007-05-01,Penn Laurel Financial Corp.,Financial Services,United States,Add-on Acquisition,32.7,"Northwest Bancshares, Inc., 100 Liberty Street, Warren, Pennsylvania, 16365, United States, (814) 726-2140, www.northwest.bank",,NWBI,,"Northwest Bancshares, Inc."
2007-05-24,"Bio-Imaging Research, Inc.",Medical Products,United States,Add-on Acquisition,21,"Varian Medical Systems, Inc., 3100 Hansen Way, Palo Alto, California, 94304, United States, (650) 493-4000, www.varian.com",,VAR,,"Varian Medical Systems, Inc."
2007-05-18,Energia AD,Electrical Equipment,Bulgaria,Add-on Acquisition,14.65,"EnerSys, 2366 Bernville Road, Reading, Pennsylvania, 19605, United States, (610) 208-1991, www.enersys.com",,ENS,,EnerSys
2007-05-04,"Delta Process Equipment, Inc.",Machinery,United States,Add-on Acquisition,10,"DXP Enterprises, Inc., 7272 Pinemont, Houston, Texas, 77040, United States, (713) 996-4700, www.dxpe.com",,DXPE,,"DXP Enterprises, Inc."
2007-06-03,"Alliant Insurance Services, Inc.",Insurance,United States,Secondary Buyout,1171,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2007-06-26,"International Motion Controls, Inc.",Electrical Equipment,United States,Add-on Acquisition,395,"ITT Inc., 1133 Westchester Avenue, White Plains, New York, 10604, United States, (914) 641-2000, www.itt.com",,ITT,,ITT Inc.
2007-06-13,"The Techs Industries, Inc.",Metals/Mining,United States,Add-on Acquisition,360,"Steel Dynamics, Inc., 7575 West Jefferson Boulevard, Fort Wayne, Indiana, 46804, United States, (260) 969-3500, www.steeldynamics.com",,STLD,,"Steel Dynamics, Inc."
2007-06-01,"Gwinnett Commercial Group, Inc.",Financial Services,United States,Add-on Acquisition,216.6,"United Community Banks, Inc., 125 Highway, 515 East, Blairsville, Georgia, 30512, United States, (706) 781-2265, www.ucbi.com",,UCBI,,"United Community Banks, Inc."
2007-06-01,First Bank of the South,Financial Services,United States,Add-on Acquisition,216.6,"United Community Banks, Inc., 125 Highway, 515 East, Blairsville, Georgia, 30512, United States, (706) 781-2265, www.ucbi.com",FRBA,UCBI,First Bank,"United Community Banks, Inc."
2007-06-01,"FeedBurner, Inc.",Internet Software and Services,United States,Add-on Acquisition,100,"Alphabet Inc., 1600 Amphitheatre Parkway, Mountain View, California, 94043, United States, (650) 253-0000, www.google.com",,GOOG,,Alphabet Inc.
2007-06-08,TIR Systems Ltd.,Electrical Equipment,Canada,Add-on Acquisition,55.22,"Koninklijke Philips N.V., Philips Center Amstelplein 2, Amsterdam, 1096 BC, Netherlands, +31 20 597 7777, www.philips.com",,PHG,,Koninklijke Philips N.V.
2007-06-01,"CN Bancorp, Inc.",Financial Services,United States,Add-on Acquisition,44.21,"Sandy Spring Bancorp, Inc., 17801 Georgia Avenue, Olney, Maryland, 20832, United States, (301) 774-6400, www.sandyspringbank.com",,SASR,,"Sandy Spring Bancorp, Inc."
2007-06-25,"Kasamba, Inc.",Internet Software and Services,United States,Add-on Acquisition,40,"LivePerson, Inc., 475 10th Avenue, 5th Floor, New York, New York, 10018, United States, (212) 609-4200, www.liveperson.com",,LPSN,,"LivePerson, Inc."
2007-06-22,First Coastal Bancshares Inc.,Financial Services,United States,Add-on Acquisition,35.72,"CVB Financial Corp., 701 North Haven Avenue, Ontario, California, 91764, United States, (909) 980-4030, www.cbbank.com",,CVBF,,CVB Financial Corp.
2007-06-28,"ICF Z-Tech, Inc.",Information Technology,United States,Add-on Acquisition,27,"ICF International, Inc., 9300 Lee Highway, Fairfax, Virginia, 22031, United States, (703) 934-3000, www.icfi.com",,ICFI,,"ICF International, Inc."
2007-06-11,Comtecnet Inc.,Software,United States,Add-on Acquisition,23.5,"CSG Systems International, Inc., 6175 South Willow Drive 10th Floor, Greenwood Village, Colorado, 80111, United States, (303) 200-2000, www.csgi.com",,CSGS,,"CSG Systems International, Inc."
2007-06-05,"PeakStream, Inc.",Software,United States,Add-on Acquisition,20.3,"Alphabet Inc., 1600 Amphitheatre Parkway, Mountain View, California, 94043, United States, (650) 253-0000, www.google.com",,GOOG,,Alphabet Inc.
2007-06-27,Alaska First Bank & Trust NA,Financial Services,United States,Add-on Acquisition,6.25,"Northrim Bancorp, Inc., 3111 C Street, Anchorage, Alaska, 99503, United States, (907) 562-0062, www.northrim.com",FRBA,,First Bank,
2007-07-04,"Hilton Worldwide Holdings, Inc.",Leisure,United States,Going Private,26000,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2007-07-17,Lyondell Chemical Co.,Chemicals,United States,Add-on Acquisition,19000,"LyondellBasell Industries N.V., One Vine Street 4th Floor, London, W1J0AH, United Kingdom, 44 20 7220 2600, www.lyondellbasell.com",,LYB,,LyondellBasell Industries N.V.
2007-07-23,"United Rentals, Inc.",Business Services,United States,Stake Purchase,6600,"Cerberus Capital Management (PE), 875 Third Avenue , New York, New York, 10022, United States, (212)891-2100, www.cerberuscapital.com",URI,,"United Rentals, Inc.",
2007-07-03,Groupe Danone - Biscuits & Cereal Products Business,Food,France,Divestiture,5972.57,"Mondelez International, Inc., 905 West Fulton Market Suite 200, Chicago, New Jersey, 60607, United States, (847) 943-4000, www.mondelezinternational.com",,MDLZ,,"Mondelez International, Inc."
2007-07-27,"Kyphon, Inc.",Medical Products,United States,Add-on Acquisition,3900,"Medtronic plc, 20 On Hatch, Lower Hatch Street, Dublin, Ireland, 353 1 438 1700, www.medtronic.com",,MDT,,Medtronic plc
2007-07-01,SBS Broadcasting S.A.,Media,Luxembourg,Add-on Acquisition,3718.77,"ProSiebenSat.1 Media SE, Medienallee 7, Unterföhring, 85774, Germany, +49 89 95 07 11 45, www.prosiebensat1.com",,PSMP.BR,,ProSiebenSat.1 Media SE
2007-07-27,Saint-Gobain's Reinforcement and Composites Business,Manufacturing,,Add-on Acquisition,640,"Owens Corning, One Owens Corning Parkway, Toledo, Ohio, 43659, United States, (419) 248-8000, www.owenscorning.com",,O5Q.DE,,Owens Corning
2007-07-09,"Postini, Inc.",Internet Software and Services,United States,Add-on Acquisition,625,"Alphabet Inc., 1600 Amphitheatre Parkway, Mountain View, California, 94043, United States, (650) 253-0000, www.google.com",,GOOG,,Alphabet Inc.
2007-07-02,Wolff Walsrode,Chemicals,Germany,Divestiture,608.53,"Dow Inc., 2211 H.H. Dow Way, Midland, Michigan, 48674, United States, (989) 636-1000, www.dow.com",,DOW,,Dow Inc.
2007-07-26,"Business.com Media, Inc.",Media,United States,Add-on Acquisition,345,"Thryv Holdings, Inc., 2200 West Airfield Drive, Dallas, Texas, 75261, United States, (972) 453-7000, www.thryv.com",,THRY,,"Thryv Holdings, Inc."
2007-07-10,"AIM Holding Co., LLC",Healthcare Services,United States,Add-on Acquisition,300,"Anthem, Inc., 220 Virginia Avenue, Indianapolis, Indiana, 46204, United States, (800) 331-1476, www.antheminc.com",,ANTM,,"Anthem, Inc."
2007-07-20,"Oak Hill Financial, Inc.",Financial Services,United States,Merger,198.92,"WesBanco, Inc., 1 Bank Plaza, Wheeling, West Virginia, 26003, United States, (304) 234-9000, www.wesbanco.com",,WSBC,,"WesBanco, Inc."
2007-07-02,"First Mutual Bancshares, Inc.",Financial Services,United States,Add-on Acquisition,189.8,"Washington Federal, Inc., 425 Pike Street, Seattle, Washington, 98101, United States, (206) 624-7930, www.washingtonfederal.com",,WAFD,,"Washington Federal, Inc."
2007-07-01,Software of Excellence International Ltd.,Software,New Zealand,Add-on Acquisition,58,"Henry Schein, Inc., 135 Duryea Road, Melville, New York, 11747, United States, (631) 843-5500, www.henryschein.com",,HSIC,,"Henry Schein, Inc."
2007-07-03,"Paycom Software, Inc.",Internet Software and Services,United States,"Buyout (LBO, MBO, MBI)",56,"Welsh, Carson, Anderson & Stowe (PE), 599 Lexington Ave. Suite 1800, New York, New York, 10022, United States, (212)893-9500, www.welshcarson.com",PAYC,,"Paycom Software, Inc.",
2007-07-02,"GrandCentral Communications, Inc.",Internet Software and Services,United States,Add-on Acquisition,45,"Alphabet Inc., 1600 Amphitheatre Parkway, Mountain View, California, 94043, United States, (650) 253-0000, www.google.com",,GOOG,,Alphabet Inc.
2007-07-11,Herbert Brown & Son Ltd.,Financial Services,United Kingdom,Add-on Acquisition,42.64,"EZCORP, Inc., Building One Suite 200 2500 Bee Cave Road, Austin, Texas, 78746, United States, (512) 314-3400, www.ezcorp.com",,EZPW,,"EZCORP, Inc."
2007-07-12,Apex Microtechnology Corp.,Semiconductors,United States,Add-on Acquisition,42,"Cirrus Logic, Inc., 800 West 6th Street, Austin, Texas, 78701, United States, (512) 851-4000, www.cirrus.com",,CRUS,,"Cirrus Logic, Inc."
2007-07-11,Servecast Ltd.,Internet Software and Services,Ireland,Add-on Acquisition,37.19,"Level 3 Communications, Inc., 1025 Eldorado Boulevard, Broomfield, Colorado, 80021, United States, (720) 888-1000, www.level3.com",,PIH.TO,,8002
2007-07-31,Peterson Pacific Corp.,Machinery,United States,Add-on Acquisition,34,"Astec Industries, Inc., 1725 Shepherd Road, Chattanooga, Tennessee, 37421, United States, (423) 899-5898, www.astecindustries.com",,ASTE,,"Astec Industries, Inc."
2007-07-30,MOSAID Semiconductor IP Assets,Semiconductors,Canada,Divestiture,15.3,"Synopsys, Inc., 690 East Middlefield Road, Mountain View, California, 94043, United States, (650) 584-5000 , www.synopsys.com",,SNPS,,"Synopsys, Inc."
2007-07-12,Compliance.co.uk Ltd.,Business Services,United Kingdom,Add-on Acquisition,8.2,"Resources Connection, Inc., 17101 Armstrong Avenue, Suite 100, Irvine, California, 92614, United States, (714) 430-6400, www.rgp.com",,RECN,,"Resources Connection, Inc."
2007-07-30,"Bite, Inc.",Apparel/Textiles,United States,Add-on Acquisition,3.5,"Crocs, Inc. , 7477 East Dry Creek Parkway, Niwot, Colorado, 80503, United States, (303) 848-7000, www.crocs.com",,CROX,,"Crocs, Inc."
2007-08-30,"HD Supply Holdings, Inc.",Distribution,United States,Divestiture,8500,"Clayton, Dubilier & Rice (CD&R) (PE), 375 Park Avenue, 18th Floor, New York, New York, 10152, United States, (212)407-5200, www.cdr-inc.com\nBain Capital Private Equity (PE), 200 Clarendon Street, Boston, Massachusetts, 02199, United States, (617)516-2000, www.baincapitalprivateequity.com\nThe Carlyle Group (PE), 1001 Pennsylvania Avenue, NW, Washington, District of Columbia, 20004, United States, (202) 347 2626, www.carlyle.com",HDS,,"HD Supply Holdings, Inc.",
2007-08-24,KeySpan Corp.,Oil/Gas Exploration,United States,Add-on Acquisition,7300,"National Grid plc, 1-3 Strand, London, WC2N 5EH, United Kingdom, 44 20 7004 3000, www.nationalgrid.com",,NGG,,National Grid plc
2007-08-09,"Stiefel Laboratories, Inc.",Life Science,United States,"Buyout (LBO, MBO, MBI)",500,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",,BX,,The Blackstone Group Inc.
2007-08-22,HCT Shaping Systems SA,Technology Hardware,Switzerland,Add-on Acquisition,483,"Applied Materials, Inc., 3050 Bowers Avenue, P.O. Box 58039, Santa Clara, California, 95052, United States, (408) 727-5555, www.appliedmaterials.com",,AMAT,,"Applied Materials, Inc."
2007-08-01,Club Penguin,Internet Software and Services,Canada,Add-on Acquisition,350,"The Walt Disney Company, 500 South Buena Vista Street, Burbank, California, 91521, United States, (818) 560-1000, www.thewaltdisneycompany.com",,WDP.DE,,The Walt Disney Company
2007-08-15,"Alpha Media Group, Inc.",Publishing,United States,"Buyout (LBO, MBO, MBI)",250,"Quadrangle Group (PE), 437 Madison Avenue 34th Floor, New York, New York, 10022, United States, (212)418-1700, www.quadranglegroup.com\nBlackRock Capital Investment Corporation (PE), 40 East 52nd Street, New York, New York, 10022, United States, (212)810-5800, www.blackrockbkcc.com",,BKCC,,BlackRock Capital Investment Corporation
2007-08-30,Cementbouw BV,Building Materials,Netherlands,Add-on Acquisition,207.35,"CRH plc, Stonemason's Way Rathfarnham, Dublin 16, D16 KH51, Ireland, 353 1 404 1180, www.crh.com",,CRH,,CRH plc
2007-08-17,Desert Community Bank,Financial Services,United States,Add-on Acquisition,142.6,"East West Bancorp, Inc., 135 North Los Robles Avenue, 7th Floor, Pasadena, California, 91101, United States, (626) 768-6000, www.eastwestbank.com",,EWBC,,"East West Bancorp, Inc."
